Round,Training Time,Iterations
0,7.31,1098
1,7.32,1097
2,7.34,1088
3,7.47,1084
4,7.59,1084
5,7.63,1086
6,7.63,1087
7,7.57,1086
8,7.62,1095
9,7.57,1091
10,7.59,1090
11,7.62,1092
12,7.6,1087
13,7.57,1083
14,7.61,1084
15,7.67,1094
16,7.59,1083
17,7.57,1080
18,7.63,1086
19,7.66,1091
20,7.65,1091
21,7.54,1078
22,7.66,1093
23,7.74,1107
24,7.65,1094
25,7.63,1087
26,7.57,1081
27,7.66,1092
28,7.64,1086
29,7.62,1088
30,7.67,1090
31,7.76,1102
32,7.66,1086
33,7.68,1091
34,7.71,1092
35,7.64,1082
36,7.66,1084
37,7.69,1088
38,7.84,1103
39,7.93,1089
40,7.86,1101
41,7.79,1094
42,7.77,1094
43,7.82,1099
44,7.69,1083
45,7.78,1098
46,7.76,1092
47,7.73,1085
48,7.75,1090
49,7.73,1089
50,7.77,1091
51,7.88,1106
52,7.75,1090
53,7.74,1091
54,7.67,1078
55,7.75,1089
56,7.74,1089
57,7.71,1084
58,7.84,1095
59,7.77,1087
60,7.72,1083
61,7.75,1088
62,7.75,1087
63,7.77,1091
64,7.8,1096
65,7.75,1085
66,7.74,1086
67,7.68,1077
68,7.75,1087
69,7.78,1090
70,7.74,1083
71,7.81,1094
72,7.8,1092
73,7.82,1096
74,7.78,1087
75,7.75,1083
76,7.77,1087
77,7.7,1079
78,7.8,1093
79,7.79,1091
80,7.77,1083
81,7.77,1088
82,7.86,1097
83,7.79,1087
84,7.78,1086
85,7.75,1084
86,7.77,1087
87,7.8,1090
88,7.75,1086
89,7.79,1091
90,7.83,1093
91,7.81,1087
92,7.8,1088
93,7.8,1091
94,7.71,1077
95,7.83,1092
96,7.77,1087
97,7.79,1089
98,7.85,1093
99,7.82,1089
