Round,Training Time,Iterations
0,37.37,855
1,37.56,854
2,37.59,857
3,38.0,855
4,37.99,856
5,38.32,858
6,38.01,855
7,38.41,859
8,38.1,857
9,38.39,859
10,38.18,860
11,38.27,857
12,37.96,854
13,38.35,859
14,38.06,857
15,38.31,858
16,37.93,854
17,38.34,858
18,38.1,858
19,37.99,851
20,38.2,860
21,38.08,852
22,38.03,857
23,38.35,859
24,37.96,855
25,38.22,856
26,38.2,859
27,38.07,852
28,37.76,851
29,38.29,858
30,37.84,852
31,38.47,862
32,38.11,858
33,38.05,855
34,37.26,857
35,37.25,854
36,36.89,851
37,37.48,858
38,37.02,853
39,37.23,853
40,37.2,856
41,37.64,857
42,37.45,857
43,37.56,857
44,37.01,850
45,37.25,854
46,37.25,852
47,37.09,850
48,37.4,857
49,36.87,848
50,37.26,853
51,37.39,857
52,37.53,858
53,37.28,857
54,37.45,858
55,37.38,856
56,37.42,856
57,37.22,853
58,37.27,852
59,37.44,858
60,37.51,857
61,37.36,857
62,36.94,845
63,37.31,854
64,37.56,859
65,37.4,857
66,37.38,856
67,37.33,857
68,37.34,855
69,37.36,856
70,37.37,855
71,37.26,855
72,37.41,856
73,37.32,855
74,37.37,856
75,37.47,860
76,37.34,854
77,37.61,861
78,37.56,858
79,37.42,858
80,37.51,858
81,37.6,861
82,37.56,858
83,37.21,855
84,37.29,854
85,37.31,856
86,37.54,859
87,37.25,855
88,37.37,856
89,37.44,860
90,37.3,855
91,37.28,855
92,37.4,856
93,37.38,857
94,37.14,850
95,37.37,857
96,37.35,854
97,37.37,855
98,37.55,860
99,37.51,860
