Round,Training Time,Iterations
0,16.57,636
1,16.53,635
2,16.55,636
3,16.54,635
4,16.51,634
5,16.51,634
6,16.54,634
7,16.54,635
8,16.56,636
9,16.5,633
10,16.58,636
11,16.55,635
12,16.58,635
13,16.56,635
14,16.54,635
15,16.51,635
16,16.52,634
17,16.55,635
18,16.49,634
19,16.52,634
20,16.5,634
21,16.53,635
22,16.56,635
23,16.6,637
24,16.53,635
25,16.53,635
26,16.56,636
27,16.54,635
28,16.48,633
29,16.55,636
30,16.57,636
31,16.56,636
32,16.54,635
33,16.7,635
34,16.54,635
35,16.55,635
36,16.51,634
37,16.49,634
38,16.52,635
39,16.54,635
40,16.53,635
41,16.53,635
42,16.7,635
43,16.52,634
44,16.54,635
45,16.55,635
46,16.54,635
47,16.5,634
48,16.54,635
49,16.53,635
50,16.57,635
51,16.58,636
52,16.55,635
53,16.53,635
54,16.51,634
55,16.53,635
56,16.54,635
57,16.54,635
58,16.57,636
59,16.7,635
60,16.51,634
61,16.54,635
62,16.54,636
63,16.5,634
64,16.53,635
65,16.53,635
66,16.57,637
67,16.54,636
68,16.54,634
69,16.5,634
70,16.54,635
71,16.53,634
72,16.51,634
73,16.55,636
74,16.52,635
75,16.53,634
76,16.52,635
77,16.54,635
78,16.66,634
79,16.54,635
80,16.56,636
81,16.56,635
82,16.55,636
83,16.53,635
84,16.53,635
85,16.57,636
86,16.55,636
87,16.53,635
88,16.52,635
89,16.56,636
90,16.52,635
91,16.51,635
92,16.52,636
93,16.52,635
94,16.51,634
95,16.52,635
96,16.54,634
97,16.56,636
98,16.56,636
99,16.58,635
