Round,Training Time,Iterations
0,18.94,1079
1,13.5,770
2,12.34,703
3,8.43,481
4,25.76,1466
5,11.74,669
6,6.5,371
7,9.73,555
8,6.55,373
9,15.39,878
10,29.67,1683
11,7.09,402
12,8.11,456
13,15.07,848
14,9.25,518
15,10.66,600
16,14.31,808
17,7.5,427
18,13.89,778
19,20.4,1146
20,12.5,701
21,14.78,834
22,6.68,371
23,6.62,370
24,12.01,669
25,7.75,433
26,16.71,933
27,10.41,584
28,11.03,615
29,10.92,612
30,6.83,380
31,11.42,639
32,9.24,514
33,9.51,537
34,19.87,1126
35,17.45,976
36,18.2,1021
37,12.36,704
38,10.87,618
39,7.71,432
40,7.54,424
41,19.61,1116
42,6.87,388
43,8.52,477
44,9.65,550
45,14.26,798
46,7.95,443
47,14.94,836
48,22.59,1260
49,12.34,691
50,8.48,473
51,11.82,662
52,25.5,1424
53,10.63,596
54,11.36,633
55,11.43,640
56,10.87,620
57,26.88,1524
58,6.61,372
59,24.42,1375
60,13.0,742
61,25.09,1406
62,10.91,613
63,14.38,811
64,18.4,1042
65,12.08,683
66,15.68,884
67,6.54,372
68,6.62,371
69,9.45,530
70,6.64,371
71,16.02,901
72,19.02,1065
73,19.66,1106
74,14.38,805
75,18.35,1032
76,12.64,708
77,10.65,599
78,18.21,1020
79,16.18,920
80,7.16,408
81,7.72,434
82,17.95,1010
83,13.46,769
84,16.13,923
85,8.54,481
86,15.35,871
87,7.62,435
88,8.7,494
89,11.4,642
90,6.5,372
91,12.84,719
92,10.11,566
93,6.59,370
94,6.65,372
95,20.78,1169
96,16.44,921
97,9.62,540
98,16.22,908
99,6.64,373
