Columns,Slope_median,Slope_std,Intercept_median,Intercept_std
501,8.570694704079532e-10,1.2474943771842942e-11,-0.29951767642251914,0.02926451615881699
1002,6.111716280075677e-10,7.2513707632118e-12,-0.4778029595375535,0.03921709217097626
1503,4.939703367463793e-10,5.432467814368677e-12,-0.5612445083574471,0.05107952581424546
2004,4.291428569592315e-10,2.823565850926474e-12,-0.643148668640781,0.028720501133792313
2505,3.879700336953205e-10,3.7868759067091426e-12,-0.7274238913695568,0.05172012038795745
3006,3.5983417464171083e-10,4.838657837150616e-12,-0.8972227103465267,0.08590638470088607
3507,3.324238270716892e-10,4.411557668953653e-12,-0.8937979287978752,0.08852429766423024
4008,3.1285456969012935e-10,3.953449319848571e-12,-1.034278627452771,0.0790631550337279
4509,2.9404045472247564e-10,4.667874959004942e-12,-1.1012027522662269,0.11308172513061715
5010,2.757103141686948e-10,3.8037308076834425e-12,-1.1459284297441608,0.0956178243635525
5511,2.916875125724425e-10,1.1829367746188279e-11,-1.7626778840083688,0.43732936556090496
6012,2.837165495668404e-10,1.2170083578251694e-11,-2.0525014647241733,0.38830596170444587
6513,2.6460790704195723e-10,9.279933782933689e-12,-1.9297946262080217,0.32649478403651583
7014,2.4977954927571487e-10,5.8296608492011016e-12,-1.7806788730202747,0.19898892693811748
7515,2.469277193350272e-10,6.2451301785281355e-12,-2.091929278686999,0.27223265880028613
8016,2.3875406337647456e-10,7.318355596665095e-12,-2.0907823930787046,0.4527247819450984
8517,2.328523463008192e-10,9.695630590233649e-12,-2.281391378898199,0.5188928553764022
9018,2.1609575235966763e-10,5.8257632014674405e-12,-1.8554016887594624,0.2125296361806666
9519,2.1219996876553853e-10,3.3731563718479803e-12,-1.9955782975701997,0.21075271482755611
