Round,Training Time,Iterations
0,235.86,9162
1,236.24,9162
2,236.57,9162
3,236.66,9162
4,237.28,9162
5,236.56,9162
6,236.45,9162
7,236.7,9162
8,236.41,9162
9,236.68,9162
10,236.53,9162
11,236.73,9162
12,236.86,9162
13,237.33,9162
14,236.95,9162
15,236.97,9162
16,236.73,9162
17,236.88,9162
18,236.75,9162
19,236.86,9162
20,236.91,9162
21,236.96,9162
22,237.52,9162
23,236.9,9162
24,236.94,9162
25,237.08,9163
26,236.84,9162
27,237.04,9162
28,236.89,9162
29,237.01,9162
30,237.27,9162
31,237.52,9162
32,236.86,9162
33,237.43,9162
34,237.18,9162
35,237.06,9162
36,236.96,9162
37,237.78,9162
38,238.06,9162
39,238.79,9162
40,240.62,9162
41,240.75,9162
42,241.05,9162
43,242.76,9162
44,241.83,9162
45,241.85,9162
46,241.66,9162
47,241.87,9162
48,241.7,9162
49,242.88,9162
50,242.01,9162
51,241.79,9162
52,241.67,9162
53,241.82,9162
54,241.8,9162
55,242.17,9162
56,242.37,9162
57,242.4,9162
58,242.93,9162
59,242.55,9162
60,243.12,9162
61,243.17,9162
62,243.2,9162
63,244.02,9162
64,243.7,9162
65,243.05,9162
66,242.84,9162
67,243.67,9162
68,243.58,9162
69,243.98,9162
70,244.35,9162
71,244.16,9162
72,243.84,9162
73,244.41,9162
74,243.94,9162
75,244.38,9162
76,244.85,9162
77,243.09,9162
78,242.72,9162
79,243.0,9162
80,243.56,9162
81,242.68,9162
82,242.29,9162
83,242.55,9162
84,242.38,9162
85,242.71,9162
86,242.46,9162
87,242.63,9162
88,243.46,9162
89,243.33,9162
90,242.04,9162
91,239.85,9162
92,238.24,9162
93,238.74,9162
94,239.88,9162
95,238.84,9162
96,238.54,9162
97,239.1,9162
98,242.21,9162
99,242.67,9162
