Round,Training Time,Iterations
0,4.28,9320
1,4.39,9320
2,4.28,9320
3,4.38,9320
4,4.28,9320
5,4.38,9320
6,4.27,9320
7,4.38,9320
8,4.27,9320
9,4.38,9320
10,4.28,9320
11,4.39,9320
12,4.27,9320
13,4.39,9321
14,4.27,9320
15,4.38,9321
16,4.27,9320
17,4.37,9320
18,4.27,9320
19,4.38,9320
20,4.27,9320
21,4.38,9320
22,4.29,9321
23,4.39,9321
24,4.28,9320
25,4.38,9320
26,4.27,9320
27,4.39,9320
28,4.28,9320
29,4.38,9320
30,4.27,9320
31,4.39,9320
32,4.28,9320
33,4.38,9320
34,4.27,9320
35,4.38,9320
36,4.28,9320
37,4.38,9320
38,4.27,9320
39,4.38,9320
40,4.28,9320
41,4.38,9320
42,4.27,9321
43,4.39,9320
44,4.26,9321
45,4.38,9320
46,4.29,9320
47,4.39,9320
48,4.28,9320
49,4.39,9320
50,4.28,9320
51,4.39,9320
52,4.28,9321
53,4.38,9320
54,4.27,9320
55,4.39,9320
56,4.27,9320
57,4.38,9320
58,4.29,9320
59,4.38,9320
60,4.31,9320
61,4.29,9320
62,4.29,9320
63,4.27,9320
64,4.29,9320
65,4.27,9320
66,4.3,9320
67,4.27,9320
68,4.29,9320
69,4.29,9320
70,4.31,9321
71,4.29,9320
72,4.3,9320
73,4.28,9319
74,4.3,9320
75,4.28,9320
76,4.3,9320
77,4.29,9320
78,4.32,9320
79,4.3,9320
80,4.29,9320
81,4.28,9321
82,4.29,9320
83,4.28,9320
84,4.3,9320
85,4.29,9320
86,4.3,9320
87,4.29,9320
88,4.31,9320
89,4.28,9320
90,4.29,9320
91,4.28,9321
92,4.29,9320
93,4.28,9320
94,4.3,9320
95,4.28,9320
96,4.31,9320
97,4.3,9320
98,4.29,9320
99,4.28,9320
