Round,Training Time,Iterations
0,49.63,2828
1,49.68,2828
2,50.01,2828
3,49.8,2828
4,49.79,2828
5,49.83,2828
6,49.87,2828
7,49.68,2828
8,49.73,2828
9,49.78,2828
10,49.96,2828
11,49.09,2828
12,49.64,2828
13,49.55,2828
14,49.72,2828
15,49.6,2828
16,49.22,2828
17,49.85,2828
18,49.32,2828
19,49.85,2828
20,49.39,2828
21,49.72,2828
22,49.7,2828
23,49.72,2828
24,49.68,2828
25,49.72,2828
26,49.71,2828
27,49.73,2828
28,49.69,2828
29,49.7,2828
30,49.66,2828
31,49.59,2828
32,49.68,2828
33,49.98,2828
34,49.72,2828
35,49.55,2828
36,49.82,2828
37,52.27,2828
38,50.12,2828
39,49.97,2828
40,49.6,2828
41,49.97,2828
42,49.46,2828
43,49.71,2828
44,49.7,2828
45,49.74,2828
46,49.75,2828
47,49.73,2828
48,49.72,2828
49,49.72,2828
50,49.73,2828
51,49.69,2828
52,49.75,2828
53,49.75,2828
54,49.75,2828
55,49.74,2828
56,50.1,2828
57,49.95,2828
58,50.32,2828
59,49.44,2828
60,49.7,2828
61,52.64,2828
62,50.16,2828
63,49.28,2828
64,49.81,2828
65,49.88,2828
66,49.92,2828
67,49.89,2828
68,49.88,2828
69,49.9,2828
70,49.85,2828
71,49.86,2828
72,49.86,2828
73,49.9,2828
74,49.85,2828
75,49.9,2828
76,49.86,2828
77,49.9,2828
78,49.61,2828
79,51.04,2828
80,50.22,2828
81,49.55,2828
82,49.42,2828
83,49.75,2828
84,49.29,2828
85,49.7,2828
86,50.09,2828
87,49.92,2828
88,49.88,2828
89,49.84,2828
90,49.87,2828
91,49.83,2828
92,49.84,2828
93,49.84,2828
94,49.83,2828
95,49.82,2828
96,49.85,2828
97,49.83,2828
98,52.71,2828
99,52.67,2828
