Round,Training Time,Iterations
0,11.84,1768
1,11.94,1778
2,12.12,1777
3,12.46,1759
4,12.51,1798
5,12.21,1758
6,12.26,1762
7,12.35,1773
8,12.37,1773
9,12.31,1756
10,12.55,1792
11,12.26,1746
12,12.54,1788
13,12.49,1779
14,12.26,1747
15,12.31,1759
16,12.33,1763
17,12.27,1753
18,12.32,1758
19,12.35,1761
20,12.47,1778
21,12.48,1772
22,12.51,1768
23,12.42,1755
24,12.86,1779
25,12.65,1773
26,12.66,1780
27,12.6,1768
28,12.59,1770
29,12.43,1778
30,12.24,1773
31,12.29,1767
32,12.41,1775
33,12.37,1763
34,12.34,1760
35,12.57,1790
36,12.35,1760
37,12.43,1771
38,12.42,1771
39,12.42,1770
40,12.47,1756
41,12.48,1762
42,12.47,1777
43,12.4,1763
44,12.33,1756
45,12.38,1759
46,12.43,1763
47,12.5,1781
48,12.46,1766
49,12.37,1753
50,12.48,1771
51,12.4,1758
52,12.48,1768
53,12.44,1760
54,12.51,1770
55,12.36,1743
56,12.57,1775
57,12.49,1760
58,12.47,1757
59,12.62,1774
60,12.54,1768
61,12.58,1769
62,12.5,1759
63,12.63,1776
64,12.71,1788
65,12.48,1754
66,12.62,1769
67,12.53,1759
68,12.57,1766
69,12.47,1749
70,12.57,1763
71,12.65,1773
72,12.65,1775
73,12.39,1738
74,12.56,1763
75,12.73,1784
76,12.61,1765
77,12.73,1781
78,12.8,1791
79,12.77,1785
80,12.57,1759
81,12.63,1767
82,12.73,1782
83,12.64,1767
84,12.63,1769
85,12.78,1790
86,12.7,1775
87,12.56,1754
88,12.61,1763
89,12.58,1761
90,12.67,1771
91,12.63,1765
92,12.64,1764
93,12.71,1775
94,12.64,1763
95,12.77,1782
96,12.66,1767
97,12.65,1768
98,12.65,1766
99,12.62,1761
