Round,Training Time,Iterations
0,478.64,5967
1,478.7,5967
2,461.61,5967
3,466.39,5967
4,471.32,5967
5,458.18,5967
6,462.58,5967
7,466.38,5967
8,462.87,5967
9,458.71,5967
10,458.67,5967
11,486.02,5967
12,462.84,5967
13,462.68,5967
14,465.26,5967
15,467.09,5967
16,468.85,5967
17,464.76,5967
18,465.97,5967
19,459.93,5967
20,465.5,5967
21,468.97,5967
22,465.33,5967
23,468.82,5967
24,465.41,5967
25,468.57,5967
26,460.01,5967
27,464.38,5967
28,463.46,5967
29,459.75,5967
30,463.53,5967
31,459.5,5967
32,459.6,5967
33,464.55,5967
34,459.29,5967
35,460.92,5967
36,521.23,5967
37,464.06,5967
38,466.04,5967
39,467.57,5967
40,463.95,5967
41,463.7,5967
42,459.12,5967
43,463.44,5967
44,467.09,5967
45,463.43,5967
46,467.14,5967
47,458.68,5967
48,463.29,5967
49,462.44,5967
50,458.94,5967
51,458.81,5967
52,462.8,5967
53,466.84,5967
54,461.97,5967
55,458.71,5967
56,458.31,5967
57,485.91,5967
58,462.68,5967
59,460.9,5967
60,465.7,5967
61,466.83,5967
62,461.15,5967
63,465.66,5967
64,465.24,5967
65,465.56,5967
66,464.91,5967
67,466.09,5967
68,465.21,5967
69,465.08,5967
70,462.26,5967
71,462.27,5967
72,457.25,5967
73,461.25,5967
74,457.96,5967
75,460.58,5967
76,461.44,5967
77,459.3,5967
78,518.01,5967
79,462.12,5967
80,517.52,5967
81,468.31,5967
82,461.81,5967
83,460.98,5967
84,464.86,5967
85,462.72,5967
86,464.43,5967
87,462.4,5967
88,464.52,5967
89,462.36,5967
90,464.8,5967
91,463.1,5967
92,465.64,5967
93,457.68,5967
94,465.36,5967
95,463.09,5967
96,464.28,5967
97,457.82,5967
98,457.63,5967
99,517.31,5967
