Round,Training Time,Iterations
0,42.18,966
1,39.41,905
2,40.22,925
3,39.92,917
4,39.0,895
5,41.55,955
6,43.98,1012
7,42.36,974
8,42.85,984
9,42.15,968
10,41.14,947
11,43.36,997
12,42.74,981
13,39.27,902
14,41.93,963
15,39.99,918
16,37.44,857
17,38.02,872
18,37.01,849
19,40.02,918
20,41.6,951
21,42.99,985
22,37.48,859
23,40.48,926
24,42.81,978
25,40.43,925
26,40.92,937
27,41.79,955
28,40.83,932
29,42.07,960
30,40.23,917
31,42.86,975
32,42.02,956
33,41.02,934
34,42.0,958
35,42.25,961
36,42.47,967
37,39.92,908
38,38.46,877
39,40.56,922
40,40.77,927
41,41.11,935
42,44.11,1005
43,42.56,969
44,42.0,954
45,38.84,882
46,39.76,904
47,40.29,915
48,41.61,943
49,37.97,858
50,39.6,897
51,34.84,788
52,41.35,936
53,39.72,898
54,40.79,926
55,39.12,884
56,41.52,940
57,44.27,1000
58,41.8,946
59,44.39,1002
60,42.66,964
61,40.05,903
62,43.86,993
63,42.69,964
64,42.68,963
65,44.15,996
66,44.07,997
67,40.01,902
68,43.22,976
69,37.62,848
70,40.56,917
71,38.38,865
72,44.3,999
73,45.24,1020
74,37.04,838
75,44.85,1012
76,42.37,955
77,44.92,1012
78,43.91,992
79,40.37,908
80,44.27,997
81,40.22,905
82,43.31,977
83,41.35,930
84,40.04,902
85,41.35,930
86,43.28,964
87,33.9,757
88,41.45,929
89,43.29,970
90,41.2,926
91,45.0,1008
92,42.75,958
93,43.63,976
94,39.69,889
95,42.45,951
96,44.6,1000
97,39.12,876
98,39.23,881
99,41.18,922
